userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
523,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,4,4.5,4.5,NA,NA,NA,3.5,NA,NA,5,NA,NA,NA,NA,4,4.5,NA,4,4.5,4,3.5,NA,3.5,NA,NA,NA,NA,NA,4,4,NA,NA,NA,5,NA,NA,4.5,4,5,4.5,NA,4.5,5,NA,NA,4.5,4.5,3,3,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,1.5,NA,NA,4.5,NA,NA,NA,NA,4,4,4,NA,5,NA,5,5,4.5,5,4,NA,NA,NA,4,NA,4.5,3.5,4,NA,NA,4.5,4,NA,NA,NA,5,4,3,NA,NA,NA,4,4,NA,4.5,4,NA,4,4.5,4,4.5
524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3.5,4.5,3,NA,NA,4,NA,4.5,4,NA,NA,NA,NA,NA,NA,NA,NA
525,2,2,4,3,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,5,NA,NA,NA,5,NA,NA,5,3,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,4,NA,NA,5,5,NA,NA,NA,NA,3,NA,NA,5,NA,NA,4,NA,NA,NA,5,NA,4,5,4,NA,5,NA,NA,NA,4,3,NA,NA,3,NA,4,4,NA,NA,NA,5,4,NA,NA,NA,5,NA,NA,NA,NA,5,5,NA,NA,NA,5,4,NA,NA,5,4,5,NA,NA,NA,NA
526,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3.5,NA,NA,NA,5,NA,NA,3.5
527,NA,NA,NA,NA,NA,NA,NA,1.5,NA,3,3.5,1,2,2.5,3.5,3.5,3.5,NA,NA,3.5,NA,NA,NA,NA,NA,1,NA,3,NA,1.5,NA,NA,4,NA,NA,2,4.5,3,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,0.5,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2.5,4,1,1,NA,NA,3.5,NA,3.5,NA,2,3.5,NA,NA,0.5,NA,4.5,3.5,4,NA,2.5,3.5,3,4.5,NA,3,5,4,NA,2,NA,3.5,3,NA,NA,NA,3.5,2.5,3,3.5,3,4,NA,1.5,NA,4,2,3.5,NA,1.5,4.5,3.5,4.5,4,1,NA,NA,NA,NA,4.5,4.5,NA,NA,4.5,NA,NA,4.5,NA,3,NA,NA,NA,4.5,2,NA,NA,3.5,NA,3.5
528,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,3.5,3.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,3.5,3.5,NA,4,NA,NA,NA,4.5,NA,5,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3.5,NA,NA,NA,3,4,NA,3,NA,3.5,NA,4,NA,4,3,NA,NA,NA,NA,4,3,NA,NA,3.5,NA,3.5
529,4,NA,NA,NA,NA,NA,4.5,NA,NA,4,4,5,4.5,NA,NA,NA,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.5,NA,4.5,NA,4,3,NA,NA,3,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3.5,3,5,NA,NA,3,2,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,3,NA,4,NA,4,NA,NA,4,2,3,NA,3,2,3,3,4,NA,1,NA,2,NA,2,NA,NA,NA,4,3,NA,3,4,NA,NA,NA,NA,5,3,NA,NA,NA,NA,1,4,3,5,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
530,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,4,4,3,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3.5,NA,4,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,2.5,2.5,NA,4,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0.5,3.5,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3.5,NA,3,3.5,NA,2,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,4.5,1,4,4.5,0.5,2,NA,NA,1,2.5,NA
532,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,3.5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,3.5,NA,NA,4.5,4,NA,NA,NA,4.5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3.5,NA,4.5,4.5,NA,3,4.5,NA,5
533,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,4,NA,NA,NA,NA,NA,NA,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,NA,4,NA,NA,NA,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,4,NA,NA,NA,4,3,3,5,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,3,5,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,4,5,NA,4,NA,5,NA,NA,NA,4,NA,3,NA,4,NA,NA,5,4,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,5,4,5,NA,3,4,2,NA,2,3,4,3,4,2,5,2,NA,4,NA,5,NA,NA,5,3,5,4,4,4,NA,NA,NA,NA,NA,4,3,4,3,4,NA,NA,5,NA,NA,3,NA,4,4,NA,5,3,4,4,NA,4,NA,3,5,4,4,3,3,NA,NA,NA,4,NA,4,3,5,3,5,NA,4,NA,3,NA,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,4,NA,NA,5,NA,3,4,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,NA,3,NA,3,3,NA,NA,1,3,NA,NA,NA,NA,NA,3,NA,NA,3,3,4,NA,3,NA,3,4,3,2,4,NA,3,NA,3,NA,NA,3,3,4,3,3,2,4,2,NA,NA,3,4,3,1,3,3,NA,3,2,2,3,3,4,4,3,4,3,3,NA,NA,3,NA,3,3,3,4,3,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,5,4,5,NA,NA,NA,5,NA,NA,5,4,5,5,4,NA,5,4,5,4,5,3,2,NA,4,5,4,4,5,NA,5,4,5,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,5,3,NA,NA,3,NA,5,NA,5,NA,4,NA,4,NA,NA,5,4,2,NA,NA,NA,4,4,NA,3,NA,NA,NA,NA,NA,3,2,5,4,NA,NA,NA,4,4,NA,5,5,4,4,NA,3,4,4,NA,NA,NA,3,NA,NA,4,NA,NA,4,3,3,2,5,5,5,5,5,NA,3,NA,NA,5,NA,4,NA,NA,3,3,NA,3,5,NA,NA,5,3,4,NA,4,5,5,5,5,5,2,NA,5,NA,5,NA,3,NA,NA,3,3,3,4,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,4,3,NA,3,3,3,NA,NA,NA,3,NA,NA,3,NA,NA,3,5,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,4,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA
541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,5,5,NA,5,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5,NA,5,4,NA,NA,4.5,4,NA,4.5
543,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,NA,NA,4.5,NA,NA,4,NA,NA,NA,5,4.5,NA,NA,NA,5,NA,NA,NA,NA,4,4.5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.5,NA,NA,4,NA,NA,5,NA,NA,NA,3.5,5,NA,NA,NA,5,4.5,NA,5,NA,4,NA,NA,5,5,NA,5,NA,NA,5,NA,5,NA,4.5,4.5,NA,NA,4.5,NA,NA,4,NA,NA,NA,NA,4.5,4,NA,4,NA,NA,NA,4.5,NA,4,4.5,NA,4.5,4,NA,NA,NA,5,NA,NA,4.5,3.5,4,NA,3.5,NA,4,NA,4
545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,5,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,5,NA,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,5,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5
547,3.5,NA,2.5,NA,3,4,5,NA,4,4.5,4,4,4,3,4,4,NA,NA,NA,NA,5,1,4,2,1,4.5,NA,NA,0.5,NA,4,0.5,NA,4,4,NA,NA,5,4.5,NA,5,NA,4.5,NA,0.5,3.5,2,4.5,NA,NA,2,3,NA,1.5,3.5,NA,2.5,4,4,3,4,3,1,5,3,3.5,3,3,NA,NA,3,1,5,3.5,3.5,5,NA,NA,3,3.5,4,5,NA,2,5,4.5,4,NA,4,2.5,NA,2,3.5,3,5,5,2.5,5,3.5,4,4.5,3,NA,5,2,5,3.5,NA,4.5,3,4.5,4,1,0.5,NA,3,2.5,3.5,NA,1,NA,4,4,5,3.5,3.5,5,3,NA,4.5,4,4.5,3,NA,4.5,4.5,2.5,3,NA,3,NA,4,NA
548,4,3,3,4,3,NA,NA,3,3,NA,3,NA,3,3,3,4,3,3,NA,5,NA,4,3,NA,3,NA,NA,NA,3,4,3,3,5,NA,3,3,4,4,3,3,5,3,3,NA,3,4,4,3,3,NA,NA,3,3,3,4,4,3,5,4,4,3,NA,3,NA,NA,5,3,NA,3,NA,3,NA,4,3,3,5,3,4,NA,4,NA,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,NA,NA,NA,4,4,5,NA,NA,NA,NA,4,4,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,4,NA,NA,3,2,NA,3,4,4,NA,NA,NA,5,NA,NA,NA,NA,4,4,5,NA,4,NA,NA,5,3,4,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,5,4,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,5,5,2,5,NA,NA,3,NA,NA,5,2,NA,NA,NA,5,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,4,NA,NA,NA,3,4,NA,NA,3,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,4,4,NA,4,3,NA,3,3,NA,NA,4,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,NA,1,NA,3,2,3,3,4,NA,2,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3.5,3,NA,NA,NA,NA,NA,5,NA,5,3,5,2.5,NA,2,2.5,5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,5,NA,4,3.5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,4,NA,NA,NA,4,4.5,3.5,NA,5,4,5,NA,5,NA,5
554,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,5,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
555,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,4,NA,1,NA,3,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,3,5,NA,NA,NA,NA,4,3,3,5,3,2,NA,3,NA,NA,4,NA,3,3,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,4,4,2,NA,NA,1,NA,4,3,3,3,NA,NA,4,3,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
